POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
4,,Marcia RICHARDSON,GBRGBR,11.62,0.201,100 m,Heats,F,2000
5,,Paraskevi PATOULIDOU,GREGRE,11.65,0.216,100 m,Heats,F,2000
6,,Joanna HOAREAU,SEYSEY,12.01,0.261,100 m,Heats,F,2000
7,,Akonga NSIMBO,CODCOD,12.51,0.234,100 m,Heats,F,2000
8,,Tamara SHANIDZE,GEOGEO,12.56,0.273,100 m,Heats,F,2000
9,,Fatou DIENG,MTNMTN,13.69,0.201,100 m,Heats,F,2000
1,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.10 Q,0.19,100 m,Heats,F,2000
2,,Xuemei LI,CHNCHN,11.25 Q,0.185,100 m,Heats,F,2000
3,,Torri EDWARDS,USAUSA,11.34 Q,0.159,100 m,Heats,F,2000
4,,Cydonie MOTHERSILLE,CAYCAY,11.38 q,0.226,100 m,Heats,F,2000
5,,Ameerah BELLO,ISVISV,11.64,0.245,100 m,Heats,F,2000
6,,Grace DINKINS,LBRLBR,11.79,0.174,100 m,Heats,F,2000
7,,Anais OYEMBO,GABGAB,12.19,0.158,100 m,Heats,F,2000
8,,Mariam Mohamed Hadi AL HILLI,BRNBRN,13.98,,100 m,Heats,F,2000
1,,Merlene OTTEY,JAMJAM,11.24 Q,0.235,100 m,Heats,F,2000
2,,Petya PENDAREVA,BULBUL,11.30 Q,0.198,100 m,Heats,F,2000
3,,Melinda GAINSFORD-TAYLOR,AUSAUS,11.34 Q,0.191,100 m,Heats,F,2000
4,,Natalya POMOSHCHNIKOVA-VORONOVA,RUSRUS,11.47,0.188,100 m,Heats,F,2000
5,,Louise AYÉTOTCHÉ,CIVCIV,11.52,0.267,100 m,Heats,F,2000
6,,Irene TRUICE JOSEPH,INAINA,11.93,0.233,100 m,Heats,F,2000
7,,Shu-Chuan CHEN,TAITAI,12.22,0.241,100 m,Heats,F,2000
8,,Sarah TONDE,BURBUR,12.56,0.216,100 m,Heats,F,2000
9,,Sandjema BATOULI,COMCOM,13.58,0.253,100 m,Heats,F,2000
1,,Chryste GAINES,USAUSA,11.06 Q,0.208,100 m,Heats,F,2000
2,,Tayna LAWRENCE,JAMJAM,11.14 Q,0.165,100 m,Heats,F,2000
3,,Vida NSIAH,GHAGHA,11.18 Q,0.217,100 m,Heats,F,2000
4,,Esi BENYARKU,CANCAN,11.55,0.185,100 m,Heats,F,2000
5,,Xiujun ZENG,CHNCHN,11.63,0.284,100 m,Heats,F,2000
6,,Kadiatou CAMARA,MLIMLI,11.65,0.249,100 m,Heats,F,2000
7,,Joanne DURANT,BARBAR,11.82,0.242,100 m,Heats,F,2000
8,,Chan Than OUK,CAMCAM,14.13,,100 m,Heats,F,2000
1,,Merlene OTTEY,JAMJAM,11.08 Q,0.203,100 m,Quarter,F,2000
2,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.18 Q,0.192,100 m,Quarter,F,2000
3,,Mercy NKU,NGRNGR,11.26 Q,0.172,100 m,Quarter,F,2000
4,,Christine ARRON,FRAFRA,11.26 Q,0.241,100 m,Quarter,F,2000
5,,Torri EDWARDS,USAUSA,11.32,0.168,100 m,Quarter,F,2000
6,,Anzhela KRAVCHENKO,UKRUKR,11.32,0.216,100 m,Quarter,F,2000
7,,Monica TWUM,GHAGHA,11.7,0.223,100 m,Quarter,F,2000
8,,Cydonie MOTHERSILLE,CAYCAY,11.81,0.28,100 m,Quarter,F,2000
1,,Ekateríni THÁNOU,GREGRE,10.99 Q,0.18,100 m,Quarter,F,2000
2,,Tayna LAWRENCE,JAMJAM,11.11 Q,0.19,100 m,Quarter,F,2000
3,,Melinda GAINSFORD-TAYLOR,AUSAUS,11.24 Q,0.221,100 m,Quarter,F,2000
4,,Petya PENDAREVA,BULBUL,11.36,0.231,100 m,Quarter,F,2000
5,,Hanitriniaina RAKOTONDRABE,MADMAD,11.51,0.225,100 m,Quarter,F,2000
6,,Iryna PUKHA,UKRUKR,11.54,0.215,100 m,Quarter,F,2000
7,,Joan Uduak EKAH,NGRNGR,11.67,0.265,100 m,Quarter,F,2000
,,Marion JONES,USAUSA,DQ,0.215,100 m,Quarter,F,2000
1,,Zhanna BLOCK,UKRUKR,11.08 Q,0.191,100 m,Quarter,F,2000
2,,Chryste GAINES,USAUSA,11.21 Q,0.216,100 m,Quarter,F,2000
3,,Chandra STURRUP,BAHBAH,11.22 Q,0.234,100 m,Quarter,F,2000
4,,Beverly MCDONALD,JAMJAM,11.26 Q,0.194,100 m,Quarter,F,2000
5,,Mary ONYALI-OMAGBEMI,NGRNGR,11.4,0.222,100 m,Quarter,F,2000
6,,Lauren HEWITT,AUSAUS,11.54,0.196,100 m,Quarter,F,2000
7,,Valma BASS,SKNSKN,11.6,0.17,100 m,Quarter,F,2000
8,,Sandra CITTE,FRAFRA,11.63,0.253,100 m,Quarter,F,2000
1,,Savatheda FYNES,BAHBAH,11.10 Q,0.175,100 m,Quarter,F,2000
2,,Vida NSIAH,GHAGHA,11.19 Q,0.181,100 m,Quarter,F,2000
3,,Myriam Léonie MANI,CMRCMR,11.23 Q,0.157,100 m,Quarter,F,2000
4,,Susanthika JAYASINGHE,SRISRI,11.23 Q,0.226,100 m,Quarter,F,2000
5,,Xuemei LI,CHNCHN,11.46,0.22,100 m,Quarter,F,2000
6,,Natalya IGNATOVA,RUSRUS,11.47,0.198,100 m,Quarter,F,2000
7,,Sarah REILLY,IRLIRL,11.53,0.185,100 m,Quarter,F,2000
8,,Lyubov PEREPELOVA,UZBUZB,11.59,0.25,100 m,Quarter,F,2000
1,,Merlene OTTEY,JAMJAM,11.22 Q,0.206,100 m,Semi,F,2000
2,,Chandra STURRUP,BAHBAH,11.31 Q,0.202,100 m,Semi,F,2000
3,,Zhanna BLOCK,UKRUKR,11.32 Q,0.227,100 m,Semi,F,2000
4,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.34 Q,0.281,100 m,Semi,F,2000
5,,Vida NSIAH,GHAGHA,11.37,0.173,100 m,Semi,F,2000
6,,Myriam Léonie MANI,CMRCMR,11.4,0.196,100 m,Semi,F,2000
7,,Christine ARRON,FRAFRA,11.42,0.253,100 m,Semi,F,2000
8,,Melinda GAINSFORD-TAYLOR,AUSAUS,11.45,0.21,100 m,Semi,F,2000
1,,Ekateríni THÁNOU,GREGRE,11.10 Q,0.205,100 m,Semi,F,2000
2,,Savatheda FYNES,BAHBAH,11.16 Q,0.172,100 m,Semi,F,2000
3,,Tayna LAWRENCE,JAMJAM,11.12 Q,0.171,100 m,Semi,F,2000
4,,Chryste GAINES,USAUSA,11.23,0.201,100 m,Semi,F,2000
5,,Beverly MCDONALD,JAMJAM,11.31,0.193,100 m,Semi,F,2000
6,,Susanthika JAYASINGHE,SRISRI,11.33,0.188,100 m,Semi,F,2000
7,,Mercy NKU,NGRNGR,11.56,0.228,100 m,Semi,F,2000
,,Marion JONES,USAUSA,DQ,0.192,100 m,Semi,F,2000
1,,Ekateríni THÁNOU,GREGRE,11.12,0.206,100 m,Final,F,2000
2,,Tayna LAWRENCE,JAMJAM,11.18,0.163,100 m,Final,F,2000
3,,Merlene OTTEY,JAMJAM,11.19,0.179,100 m,Final,F,2000
4,,Zhanna BLOCK,UKRUKR,11.2,0.223,100 m,Final,F,2000
5,,Chandra STURRUP,BAHBAH,11.21,0.193,100 m,Final,F,2000
6,,Savatheda FYNES,BAHBAH,11.22,0.253,100 m,Final,F,2000
7,,Debbie FERGUSON-MCKENZIE,BAHBAH,11.29,0.238,100 m,Final,F,2000
,,Marion JONES,USAUSA,DQ,0.189,100 m,Final,F,2000
1,,Mark CREAR,USAUSA,13.44 Q,0.177,110 m H,Heats,M,2000
2,,Stanislavs OLIJARS,LATLAT,13.56 Q,0.228,110 m H,Heats,M,2000
3,,Kyle VANDER KUYP,AUSAUS,13.67 Q,0.152,110 m H,Heats,M,2000
4,,Paul SEHZUE,LBRLBR,14.18 Q,0.216,110 m H,Heats,M,2000
5,,Charles ALLEN,GUYGUY,14.21,0.235,110 m H,Heats,M,2000
6,,Ralf LEBERER,GERGER,56.74 q,0.164,110 m H,Heats,M,2000
,,Tony JARRETT,GBRGBR,DQ,0.178,110 m H,Heats,M,2000
,,Marcin KUSZEWSKI,POLPOL,DNF,0.2,110 m H,Heats,M,2000
1,,Dudley DORIVAL,HAIHAI,13.33 Q,0.203,110 m H,Heats,M,2000
2,,Yoel HERNÁNDEZ,CUBCUB,13.53 Q,0.173,110 m H,Heats,M,2000
3,,Shaun BOWNES,RSARSA,13.53 Q,0.187,110 m H,Heats,M,2000
4,,Falk BALZER,GERGER,13.67 Q,0.183,110 m H,Heats,M,2000
5,,Steve BROWN,TTOTTO,13.92 q,0.182,110 m H,Heats,M,2000
6,,Peter COGHLAN,IRLIRL,14.03 q,0.198,110 m H,Heats,M,2000
7,,Robert FOSTER,JAMJAM,14.33,0.221,110 m H,Heats,M,2000
,,Mubarak Ata MUBARAK,KSAKSA,DQ,0.243,110 m H,Heats,M,2000
1,,Anier GARCÍA,CUBCUB,13.60 Q,0.235,110 m H,Heats,M,2000
2,,Andrey KISLYKH,RUSRUS,13.77 Q,0.167,110 m H,Heats,M,2000
3,,Balázs KOVÁCS,HUNHUN,13.83 Q,0.14,110 m H,Heats,M,2000
4,,Jean-Marc GRAVA,FRAFRA,14.01 Q,0.2,110 m H,Heats,M,2000
5,,Gabriel BURNETT,BARBAR,14.23,0.258,110 m H,Heats,M,2000
6,,Raphaël MONACHON,SUISUI,14.8,0.221,110 m H,Heats,M,2000
,,Zhivko VIDENOV,BULBUL,DNF,0.122,110 m H,Heats,M,2000
1,,Florian SCHWARTHOFF,GERGER,13.55 Q,0.162,110 m H,Heats,M,2000
2,,Robert KRONBERG,SWESWE,13.58 Q,0.264,110 m H,Heats,M,2000
3,,Terrence TRAMMELL,USAUSA,13.59 Q,0.25,110 m H,Heats,M,2000
4,,Emiliano PIZZOLI,ITAITA,13.65 Q,0.158,110 m H,Heats,M,2000
5,,Márcio Simão DE SOUZA,BRABRA,13.70 q,0.17,110 m H,Heats,M,2000
6,,Jeffrey JACKSON,ISVISV,14.05 q,0.208,110 m H,Heats,M,2000
7,,Victor HOUSTON,BARBAR,14.06,0.23,110 m H,Heats,M,2000
8,,Paolo DELLA SANTA,SUISUI,14.12,0.19,110 m H,Heats,M,2000
1,,Allen JOHNSON,USAUSA,13.50 Q,0.174,110 m H,Heats,M,2000
2,,Yevgeniy PECHONKIN,RUSRUS,13.56 Q,0.216,110 m H,Heats,M,2000
3,,Jonathan NSENGA,BELBEL,13.57 Q,0.185,110 m H,Heats,M,2000
4,,Elmar LICHTENEGGER,AUTAUT,13.65 Q,0.212,110 m H,Heats,M,2000
5,,Levente CSILLAG,HUNHUN,13.66 q,0.257,110 m H,Heats,M,2000
6,,Joseph-Berlioz RANDRIAMIHAJA,MADMAD,13.86 q,0.218,110 m H,Heats,M,2000
7,,Damien GREAVES,GBRGBR,14.01 q,0.303,110 m H,Heats,M,2000
1,,Colin JACKSON,GBRGBR,13.38 Q,0.135,110 m H,Heats,M,2000
2,,Tomasz SCIGACZEWSKI,POLPOL,13.53 Q,0.166,110 m H,Heats,M,2000
3,,Andrea GIACONI,ITAITA,13.62 Q,0.203,110 m H,Heats,M,2000
4,,Adrian WOODLEY,CANCAN,13.71 Q,0.175,110 m H,Heats,M,2000
5,,Satoru TANIGAWA,JPNJPN,13.74 q,0.143,110 m H,Heats,M,2000
6,,Arlindo LEÓCADIO PINHEIRO,STPSTP,15.65,0.233,110 m H,Heats,M,2000
,,Robin KORVING,NEDNED,DNS,,110 m H,Heats,M,2000
,,Igor KOVÁC,SVKSVK,DNS,,110 m H,Heats,M,2000
1,,Anier GARCÍA,CUBCUB,13.53 Q,0.207,110 m H,Quarter,M,2000
2,,Falk BALZER,GERGER,13.59 Q,0.206,110 m H,Quarter,M,2000
3,,Mark CREAR,USAUSA,13.60 Q,0.144,110 m H,Quarter,M,2000
4,,Yevgeniy PECHONKIN,RUSRUS,13.63 Q,0.155,110 m H,Quarter,M,2000
5,,Emiliano PIZZOLI,ITAITA,13.69,0.153,110 m H,Quarter,M,2000
6,,Jonathan NSENGA,BELBEL,13.73,0.152,110 m H,Quarter,M,2000
7,,Satoru TANIGAWA,JPNJPN,13.94,0.157,110 m H,Quarter,M,2000
8,,Damien GREAVES,GBRGBR,14.08,0.239,110 m H,Quarter,M,2000
1,,Dudley DORIVAL,HAIHAI,13.49 Q,0.18,110 m H,Quarter,M,2000
2,,Shaun BOWNES,RSARSA,13.54 Q,0.203,110 m H,Quarter,M,2000
3,,Tomasz SCIGACZEWSKI,POLPOL,13.60 Q,0.21,110 m H,Quarter,M,2000
4,,Kyle VANDER KUYP,AUSAUS,13.62 Q,0.163,110 m H,Quarter,M,2000
5,,Ralf LEBERER,GERGER,13.73,0.141,110 m H,Quarter,M,2000
6,,Levente CSILLAG,HUNHUN,13.75,0.183,110 m H,Quarter,M,2000
7,,Andrea GIACONI,ITAITA,13.93,0.168,110 m H,Quarter,M,2000
8,,Jeffrey JACKSON,ISVISV,14.17,0.248,110 m H,Quarter,M,2000
9,,Paul SEHZUE,LBRLBR,14.37,0.22,110 m H,Quarter,M,2000
1,,Florian SCHWARTHOFF,GERGER,13.54 Q,0.19,110 m H,Quarter,M,2000
2,,Allen JOHNSON,USAUSA,13.55 Q,0.154,110 m H,Quarter,M,2000
3,,Robert KRONBERG,SWESWE,13.56 Q,0.205,110 m H,Quarter,M,2000
4,,Elmar LICHTENEGGER,AUTAUT,13.73 Q,0.196,110 m H,Quarter,M,2000
5,,Andrey KISLYKH,RUSRUS,14.03,0.154,110 m H,Quarter,M,2000
6,,Adrian WOODLEY,CANCAN,14.04,0.178,110 m H,Quarter,M,2000
7,,Joseph-Berlioz RANDRIAMIHAJA,MADMAD,14.07,0.233,110 m H,Quarter,M,2000
8,,Steve BROWN,TTOTTO,14.12,0.202,110 m H,Quarter,M,2000
1,,Colin JACKSON,GBRGBR,13.27 Q,0.136,110 m H,Quarter,M,2000
2,,Terrence TRAMMELL,USAUSA,13.29 Q,0.154,110 m H,Quarter,M,2000
3,,Stanislavs OLIJARS,LATLAT,13.34 Q,0.164,110 m H,Quarter,M,2000
4,,Yoel HERNÁNDEZ,CUBCUB,13.40 Q,0.176,110 m H,Quarter,M,2000
5,,Márcio Simão DE SOUZA,BRABRA,13.71,0.154,110 m H,Quarter,M,2000
6,,Balázs KOVÁCS,HUNHUN,13.78,0.155,110 m H,Quarter,M,2000
7,,Peter COGHLAN,IRLIRL,13.86,0.182,110 m H,Quarter,M,2000
8,,Jean-Marc GRAVA,FRAFRA,14.47,0.152,110 m H,Quarter,M,2000
1,,Anier GARCÍA,CUBCUB,13.16 Q,0.174,110 m H,Semi,M,2000
2,,Mark CREAR,USAUSA,13.23 Q,0.193,110 m H,Semi,M,2000
3,,Dudley DORIVAL,HAIHAI,13.35 Q,0.168,110 m H,Semi,M,2000
4,,Robert KRONBERG,SWESWE,13.39 Q,0.154,110 m H,Semi,M,2000
5,,Shaun BOWNES,RSARSA,13.41,0.167,110 m H,Semi,M,2000
6,,Falk BALZER,GERGER,13.59,0.176,110 m H,Semi,M,2000
7,,Yevgeniy PECHONKIN,RUSRUS,13.62,0.165,110 m H,Semi,M,2000
8,,Kyle VANDER KUYP,AUSAUS,13.63,0.14,110 m H,Semi,M,2000
1,,Terrence TRAMMELL,USAUSA,13.32 Q,0.2,110 m H,Semi,M,2000
2,,Allen JOHNSON,USAUSA,13.33 Q,0.166,110 m H,Semi,M,2000
3,,Colin JACKSON,GBRGBR,13.34 Q,0.144,110 m H,Semi,M,2000
4,,Florian SCHWARTHOFF,GERGER,13.39 Q,0.125,110 m H,Semi,M,2000
5,,Yoel HERNÁNDEZ,CUBCUB,13.41,0.168,110 m H,Semi,M,2000
6,,Stanislavs OLIJARS,LATLAT,13.5,0.166,110 m H,Semi,M,2000
7,,Tomasz SCIGACZEWSKI,POLPOL,13.51,0.159,110 m H,Semi,M,2000
8,,Elmar LICHTENEGGER,AUTAUT,13.59,0.193,110 m H,Semi,M,2000
1,,Anier GARCÍA,CUBCUB,13,0.172,110 m H,Final,M,2000
2,,Terrence TRAMMELL,USAUSA,13.16,0.221,110 m H,Final,M,2000
3,,Mark CREAR,USAUSA,13.22,0.214,110 m H,Final,M,2000
4,,Allen JOHNSON,USAUSA,13.23,0.182,110 m H,Final,M,2000
5,,Colin JACKSON,GBRGBR,13.28,0.139,110 m H,Final,M,2000
6,,Florian SCHWARTHOFF,GERGER,13.42,0.184,110 m H,Final,M,2000
7,,Dudley DORIVAL,HAIHAI,13.49,0.161,110 m H,Final,M,2000
8,,Robert KRONBERG,SWESWE,13.61,0.244,110 m H,Final,M,2000
1,,Delloreen ENNIS-LONDON,JAMJAM,12.88 Q,0.146,100 m H,Heats,F,2000
2,,Linda FERGA-KHODADIN,FRAFRA,12.89 Q,0.237,100 m H,Heats,F,2000
3,,Svetlana LAUKHOVA,RUSRUS,12.98 Q,0.184,100 m H,Heats,F,2000
4,,Svetla PISHTIKOVA,BULBUL,13.00 Q,0.208,100 m H,Heats,F,2000
5,,Debbie EDWARDS,AUSAUS,13.24,0.175,100 m H,Heats,F,2000
6,,Nadezhda BODROVA,UKRUKR,13.25,0.201,100 m H,Heats,F,2000
7,,Manuela BOSCO,FINFIN,13.51,0.162,100 m H,Heats,F,2000
1,,Keturah ANDERSON,CANCAN,12.82 Q,0.149,100 m H,Heats,F,2000
2,,Sharon COUCH,USAUSA,12.92 Q,0.164,100 m H,Heats,F,2000
3,,Michelle FREEMAN,JAMJAM,12.99 Q,0.2,100 m H,Heats,F,2000
4,,Angela ATEDE,NGRNGR,13.09 Q,0.172,100 m H,Heats,F,2000
5,,Yvonne KANAZAWA,JPNJPN,13.13 q,0.192,100 m H,Heats,F,2000
6,,Olena KRASOVSKA,UKRUKR,13.15 q,0.236,100 m H,Heats,F,2000
7,,Maria-Joelle CONJUNGO,CAFCAF,13.95,0.179,100 m H,Heats,F,2000
8,,Verónica DE PAOLI,ARGARG,14.61,,100 m H,Heats,F,2000
1,,Olga SHISHIGINA,KAZKAZ,12.81 Q,0.203,100 m H,Heats,F,2000
2,,Melissa MORRISON-HOWARD,USAUSA,12.91 Q,0.205,100 m H,Heats,F,2000
3,,Natalya SHEKHODANOVA,RUSRUS,13.15 Q,0.198,100 m H,Heats,F,2000
4,,Trecia ROBERTS,THATHA,13.16 Q,0.196,100 m H,Heats,F,2000
5,,Yun FENG,CHNCHN,13.19,0.258,100 m H,Heats,F,2000
6,,Bich Huong VU,VIEVIE,13.61,0.217,100 m H,Heats,F,2000
7,,Rosa RAKOTOZAFY,MADMAD,13.8,0.211,100 m H,Heats,F,2000
8,,Siulolo LIKU,TGATGA,14.58,0.196,100 m H,Heats,F,2000
1,,Glory ALOZIE,NGRNGR,12.84 Q,0.197,100 m H,Heats,F,2000
2,,Nicole RAMALALANIRINA,FRAFRA,12.90 Q,0.189,100 m H,Heats,F,2000
3,,Aliuska LÓPEZ,CUBCUB,12.97 Q,0.179,100 m H,Heats,F,2000
4,,Yuliya GRAUDYN,RUSRUS,12.98 Q,0.17,100 m H,Heats,F,2000
5,,Diane ALLAHGREEN,GBRGBR,13.11 q,0.151,100 m H,Heats,F,2000
6,,Perdita FELICIEN,CANCAN,13.21,0.177,100 m H,Heats,F,2000
7,,Anita TRUMPE,LATLAT,13.77,0.178,100 m H,Heats,F,2000
8,,Naide GOMES,STPSTP,14.43,0.195,100 m H,Heats,F,2000
1,,Gail DEVERS,USAUSA,12.62 Q,0.179,100 m H,Heats,F,2000
2,,Brigitte FOSTER-HYLTON,JAMJAM,12.75 Q,0.196,100 m H,Heats,F,2000
3,,Sriyani KULAWANSA-FONSECA,SRISRI,13.10 Q,0.183,100 m H,Heats,F,2000
4,,Patricia GIRARD,FRAFRA,13.11 Q,0.19,100 m H,Heats,F,2000
5,,Nadine FAUSTIN-PARKER,HAIHAI,13.13 q,0.179,100 m H,Heats,F,2000
6,,Maya SHEMCHYSHENA,UKRUKR,13.18,0.164,100 m H,Heats,F,2000
7,,Hannah COOPER,LBRLBR,13.51,0.181,100 m H,Heats,F,2000
1,,Melissa MORRISON-HOWARD,USAUSA,12.76 Q,0.169,100 m H,Quarter,F,2000
2,,Glory ALOZIE,NGRNGR,12.84 Q,0.261,100 m H,Quarter,F,2000
3,,Aliuska LÓPEZ,CUBCUB,12.92 Q,0.157,100 m H,Quarter,F,2000
4,,Natalya SHEKHODANOVA,RUSRUS,12.96 Q,0.203,100 m H,Quarter,F,2000
5,,Nadine FAUSTIN-PARKER,HAIHAI,13.25,0.182,100 m H,Quarter,F,2000
6,,Patricia GIRARD,FRAFRA,13.43,0.181,100 m H,Quarter,F,2000
7,,Michelle FREEMAN,JAMJAM,13.52,0.188,100 m H,Quarter,F,2000
,,Keturah ANDERSON,CANCAN,DNF,0.141,100 m H,Quarter,F,2000
1,,Olga SHISHIGINA,KAZKAZ,12.66 Q,0.248,100 m H,Quarter,F,2000
2,,Sharon COUCH,USAUSA,12.78 Q,0.152,100 m H,Quarter,F,2000
3,,Nicole RAMALALANIRINA,FRAFRA,12.79 Q,0.157,100 m H,Quarter,F,2000
4,,Delloreen ENNIS-LONDON,JAMJAM,12.80 Q,0.185,100 m H,Quarter,F,2000
5,,Trecia ROBERTS,THATHA,12.96 q,0.201,100 m H,Quarter,F,2000
6,,Yvonne KANAZAWA,JPNJPN,13.11 q,0.184,100 m H,Quarter,F,2000
7,,Sriyani KULAWANSA-FONSECA,SRISRI,13.19,0.179,100 m H,Quarter,F,2000
,,Yuliya GRAUDYN,RUSRUS,DNF,0.149,100 m H,Quarter,F,2000
1,,Gail DEVERS,USAUSA,12.77 Q,0.181,100 m H,Quarter,F,2000
2,,Linda FERGA-KHODADIN,FRAFRA,12.88 Q,0.245,100 m H,Quarter,F,2000
3,,Brigitte FOSTER-HYLTON,JAMJAM,12.88 Q,0.189,100 m H,Quarter,F,2000
4,,Svetlana LAUKHOVA,RUSRUS,12.96 Q,0.155,100 m H,Quarter,F,2000
5,,Olena KRASOVSKA,UKRUKR,13.02 q,0.165,100 m H,Quarter,F,2000
6,,Svetla PISHTIKOVA,BULBUL,13.04 q,0.182,100 m H,Quarter,F,2000
7,,Angela ATEDE,NGRNGR,13.11,0.197,100 m H,Quarter,F,2000
8,,Diane ALLAHGREEN,GBRGBR,13.22,0.158,100 m H,Quarter,F,2000
1,,Nicole RAMALALANIRINA,FRAFRA,12.77 Q,,100 m H,Semi,F,2000
2,,Melissa MORRISON-HOWARD,USAUSA,12.84 Q,,100 m H,Semi,F,2000
3,,Linda FERGA-KHODADIN,FRAFRA,12.87 Q,,100 m H,Semi,F,2000
4,,Delloreen ENNIS-LONDON,JAMJAM,12.90 Q,,100 m H,Semi,F,2000
5,,Natalya SHEKHODANOVA,RUSRUS,12.92,,100 m H,Semi,F,2000
6,,Svetla PISHTIKOVA,BULBUL,12.95,,100 m H,Semi,F,2000
7,,Olena KRASOVSKA,UKRUKR,13.02,,100 m H,Semi,F,2000
,,Gail DEVERS,USAUSA,DNF,,100 m H,Semi,F,2000
1,,Glory ALOZIE,NGRNGR,12.68 Q,,100 m H,Semi,F,2000
2,,Brigitte FOSTER-HYLTON,JAMJAM,12.70 Q,,100 m H,Semi,F,2000
3,,Olga SHISHIGINA,KAZKAZ,12.71 Q,,100 m H,Semi,F,2000
4,,Aliuska LÓPEZ,CUBCUB,12.90 Q,,100 m H,Semi,F,2000
5,,Svetlana LAUKHOVA,RUSRUS,12.95,,100 m H,Semi,F,2000
6,,Sharon COUCH,USAUSA,13,,100 m H,Semi,F,2000
7,,Trecia ROBERTS,THATHA,13.15,,100 m H,Semi,F,2000
8,,Yvonne KANAZAWA,JPNJPN,13.16,,100 m H,Semi,F,2000
1,,Olga SHISHIGINA,KAZKAZ,12.65,0.237,100 m H,Final,F,2000
2,,Glory ALOZIE,NGRNGR,12.68,0.217,100 m H,Final,F,2000
3,,Melissa MORRISON-HOWARD,USAUSA,12.76,0.18,100 m H,Final,F,2000
4,,Delloreen ENNIS-LONDON,JAMJAM,12.8,0.156,100 m H,Final,F,2000
5,,Aliuska LÓPEZ,CUBCUB,12.83,0.179,100 m H,Final,F,2000
6,,Nicole RAMALALANIRINA,FRAFRA,12.91,0.194,100 m H,Final,F,2000
7,,Linda FERGA-KHODADIN,FRAFRA,13.11,0.294,100 m H,Final,F,2000
8,,Brigitte FOSTER-HYLTON,JAMJAM,13.49,0.217,100 m H,Final,F,2000
1,,Chandra STURRUP,BAHBAH,11.24,,100 m,Heats,F,1996
2,,Hanitriniaina RAKOTONDRABE,MADMAD,11.36,,100 m,Heats,F,1996
3,,Irina PRIVALOVA,RUSRUS,11.42,,100 m,Heats,F,1996
4,,Zlatka GEORGIEVA,BULBUL,11.74,,100 m,Heats,F,1996
5,,Natalya VOROBYEVA,KAZKAZ,11.91,,100 m,Heats,F,1996
6,,Lyudmila DMITRIADI,UZBUZB,12.04,,100 m,Heats,F,1996
7,,Chan Than OUK,CAMCAM,14.82,,100 m,Heats,F,1996
1,,Zhanna BLOCK,UKRUKR,11.2,,100 m,Heats,F,1996
2,,Melanie PASCHKE,GERGER,11.27,,100 m,Heats,F,1996
3,,Odiah SIDIBÉ,FRAFRA,11.4,,100 m,Heats,F,1996
4,,Mary TOMBIRI,NGRNGR,11.5,,100 m,Heats,F,1996
5,,Hermin JOSEPH,DMADMA,11.56,,100 m,Heats,F,1996
6,,Cleide AMARAL,BRABRA,11.76,,100 m,Heats,F,1996
7,,Myriam Léonie MANI,CMRCMR,11.76,,100 m,Heats,F,1996
8,,Elvira DZHABAROVA,AZEAZE,11.96,,100 m,Heats,F,1996
1,,Merlene OTTEY,JAMJAM,11.13,,100 m,Heats,F,1996
2,,Susanthika JAYASINGHE,SRISRI,11.18,,100 m,Heats,F,1996
3,,Ekateríni THÁNOU,GREGRE,11.35,,100 m,Heats,F,1996
4,,Iryna PUKHA,UKRUKR,11.36,,100 m,Heats,F,1996
5,,Heather SAMUEL,ANTANT,11.44,,100 m,Heats,F,1996
6,,Jiankui YAN,CHNCHN,11.46,,100 m,Heats,F,1996
7,,Mirtha BROCK,COLCOL,11.83,,100 m,Heats,F,1996
8,,Sortelina DA SILVA,STPSTP,13.31,,100 m,Heats,F,1996
1,,Juliet CUTHBERT,JAMJAM,11.06,,100 m,Heats,F,1996
2,,D'Andre HILL,USAUSA,11.11,,100 m,Heats,F,1996
3,,Silke LICHTENHAGEN,GERGER,11.3,,100 m,Heats,F,1996
4,,Eldece CLARKE-LEWIS,BAHBAH,11.33,,100 m,Heats,F,1996
5,,Petya PENDAREVA,BULBUL,11.59,,100 m,Heats,F,1996
6,,Cydonie MOTHERSILLE,CAYCAY,11.61,,100 m,Heats,F,1996
7,,Michelle BAPTISTE,LCALCA,11.92,,100 m,Heats,F,1996
8,,Natalie MARTINDALE,VINVIN,12.25,,100 m,Heats,F,1996
1,,Marina TRANDENKOVA,RUSRUS,11.2,,100 m,Heats,F,1996
2,,Chioma AJUNWA,NGRNGR,11.25,,100 m,Heats,F,1996
3,,Mayra MAYBERRY,PURPUR,11.51,,100 m,Heats,F,1996
4,,Stephanie DOUGLAS,GBRGBR,11.61,,100 m,Heats,F,1996
5,,Sandra P. BORRERO,COLCOL,11.62,,100 m,Heats,F,1996
6,,Jerneja PERC,SLOSLO,11.63,,100 m,Heats,F,1996
7,,Beverly MCDONALD,JAMJAM,12.08,,100 m,Heats,F,1996
8,,Ismenia FREDERICO,CPVCPV,13.03,,100 m,Heats,F,1996
1,,Gwen TORRENCE,USAUSA,11.11,,100 m,Heats,F,1996
